id,year,months_found,calculated_year_ror,reported_year_ror,difference,pass
PYTH_ABS,2018,5,0.304413,0.3044,1.3e-05,True
PYTH_ABS,2019,12,-0.049921,-0.0498,0.000121,True
PYTH_ABS,2020,12,0.365634,0.3657,6.6e-05,True
PYTH_ABS,2021,12,0.238577,0.2386,2.3e-05,True
PYTH_ABS,2022,12,0.056164,0.0564,0.000236,True
PYTH_ABS,2023,12,0.143317,0.1434,8.3e-05,True
PYTH_ABS,2024,12,0.414856,0.4151,0.000244,True
PYTH_ABS,2025,12,-0.057418,-0.0575,8.2e-05,True
PYTH_ABS,2026,2,0.002415,0.0024,1.5e-05,True
PYTH_ARB,2014,3,0.032137,0.0322,6.3e-05,True
PYTH_ARB,2015,12,0.136201,0.1363,9.9e-05,True
PYTH_ARB,2016,12,-0.020775,-0.0208,2.5e-05,True
PYTH_ARB,2017,12,0.552287,0.5524,0.000113,True
PYTH_ARB,2018,12,0.157599,0.1576,1e-06,True
PYTH_ARB,2019,12,0.113436,0.1134,3.6e-05,True
PYTH_ARB,2020,12,0.108037,0.108,3.7e-05,True
PYTH_ARB,2021,12,0.203165,0.2032,3.5e-05,True
PYTH_ARB,2022,12,0.077431,0.0774,3.1e-05,True
PYTH_ARB,2023,12,0.075273,0.0753,2.7e-05,True
PYTH_ARB,2024,12,0.192775,0.193,0.000225,True
PYTH_ARB,2025,12,0.035598,0.0356,2e-06,True
PYTH_ARB,2026,2,0.001,0.001,0.0,True
PYTH_PALB,2022,2,-0.095718,-0.0958,8.2e-05,True
PYTH_PALB,2023,12,2.866714,2.8665,0.000214,True
PYTH_PALB,2024,12,2.021356,2.0216,0.000244,True
PYTH_PALB,2025,12,-0.157799,-0.1577,9.9e-05,True
PYTH_PALB,2026,2,-0.244733,-0.2447,3.3e-05,True
PYTH_QMLS,2021,12,2.07355,2.0735,5e-05,True
PYTH_QMLS,2022,12,0.665289,0.6653,1.1e-05,True
PYTH_QMLS,2023,12,0.291556,0.2916,4.4e-05,True
PYTH_QMLS,2024,12,0.275115,0.2752,8.5e-05,True
PYTH_QMLS,2025,12,0.049282,0.0494,0.000118,True
PYTH_QMLS,2026,2,-0.01376,-0.0137,6e-05,True
QMF,2024,9,-0.060781,-0.0608,1.9e-05,True
QMF,2025,12,0.097158,0.0969,0.000258,True
QMF,2026,5,0.075251,0.0752,5.1e-05,True
